Time,Read
10.21875,2.0
10.250292,2.0
10.250368,2.0
10.890943,2.0
11.931292,2.0
12.956139,2.0
13.91629,2.0
14.940937,2.0
15.885414,2.0
16.909415,2.0
18.059716,2.0
18.887639,2.0
20.309499,2.0
20.94911,2.0
21.892476,2.0
22.930139,2.0
23.953146,2.0
24.89748,2.0
25.922329,2.0
26.962446,2.0
27.907008,2.0
28.947602,2.0
29.971818,2.0
30.916613,2.0
